number,value,datetime_start,datetime_complete,duration,params_conf,params_match_thresh,params_min-box-area,params_nms,params_track_buffer,params_track_thresh,state
105,0.5143981398676445,2025-01-27 16:56:29.833403,2025-01-27 16:58:49.351564,0 days 00:02:19.518161,0.305460921529854,0.7045706289452603,100,0.4669314143538261,600,0.8025205031189747,COMPLETE
106,0.5143981398676445,2025-01-27 16:58:49.352291,2025-01-27 17:01:07.958254,0 days 00:02:18.605963,0.3459038638122035,0.11961205512677651,100,0.1477129399493144,120,0.8355579776320341,COMPLETE
107,0.5143981398676445,2025-01-27 17:01:07.958962,2025-01-27 17:03:29.629007,0 days 00:02:21.670045,0.7272491310172156,0.16048996299291507,10,0.19027177982789745,60,0.33125397370452836,COMPLETE
108,0.5143981398676445,2025-01-27 17:03:29.629758,2025-01-27 17:05:50.396915,0 days 00:02:20.767157,0.665840589817463,0.4815856190789001,150,0.5548900466290425,600,0.41170508685865936,COMPLETE
109,0.5143981398676445,2025-01-27 17:05:50.397654,2025-01-27 17:08:10.807657,0 days 00:02:20.410003,0.6327617847671052,0.7440766391080651,10,0.6965841546218045,120,0.6215738254993785,COMPLETE
110,0.5143981398676445,2025-01-27 17:08:10.808442,2025-01-27 17:10:28.659764,0 days 00:02:17.851322,0.5054667478919277,0.20283391879513504,100,0.5918982387002296,300,0.8688567478312164,COMPLETE
111,0.5143981398676445,2025-01-27 17:10:28.660495,2025-01-27 17:12:46.646258,0 days 00:02:17.985763,0.10897104589216663,0.10468744211673622,100,0.11808429331978469,60,0.8925078998191013,COMPLETE
112,0.5143981398676445,2025-01-27 17:12:46.646965,2025-01-27 17:15:07.597089,0 days 00:02:20.950124,0.1339971213315254,0.31535432025820287,100,0.13407768784160018,60,0.5646678736219143,COMPLETE
113,0.5143981398676445,2025-01-27 17:15:07.597872,2025-01-27 17:17:27.891941,0 days 00:02:20.294069,0.14827863324079607,0.22479584723375126,100,0.15640067959460568,60,0.7932084689494718,COMPLETE
114,0.5143981398676445,2025-01-27 17:17:27.892623,2025-01-27 17:19:45.805750,0 days 00:02:17.913127,0.23454724896395512,0.17775133554165173,100,0.8445997499505896,30,0.8633378605783263,COMPLETE
115,0.5143981398676445,2025-01-27 17:19:45.806471,2025-01-27 17:22:06.035008,0 days 00:02:20.228537,0.1976823990565147,0.8017670262937523,10,0.20847526376967726,600,0.4757440010991893,COMPLETE
116,0.5143981398676445,2025-01-27 17:22:06.035752,2025-01-27 17:24:24.103804,0 days 00:02:18.068052,0.11704003652344998,0.1429022497010509,100,0.8757341586192919,60,0.8473233918526827,COMPLETE
117,0.5143981398676445,2025-01-27 17:24:24.104602,2025-01-27 17:26:44.987459,0 days 00:02:20.882857,0.5702902191385053,0.455852290832477,10,0.3245617330633111,120,0.12397801626716135,COMPLETE
118,0.5143981398676445,2025-01-27 17:26:44.988183,2025-01-27 17:29:06.209147,0 days 00:02:21.220964,0.6056001146729948,0.39053306388526465,150,0.24393067694083878,600,0.31518706900021703,COMPLETE
119,0.5143981398676445,2025-01-27 17:29:06.209845,2025-01-27 17:31:26.612551,0 days 00:02:20.402706,0.8748244460133408,0.243600229320958,100,0.8136969128690044,300,0.3501430032237793,COMPLETE
120,0.5143981398676445,2025-01-27 17:31:26.613283,2025-01-27 17:33:46.418997,0 days 00:02:19.805714,0.837045223603269,0.5230761132963251,10,0.7865498839800157,120,0.38515429906391796,COMPLETE
121,0.5143981398676445,2025-01-27 17:33:46.419721,2025-01-27 17:36:06.953690,0 days 00:02:20.533969,0.12683627217068605,0.5606645496436367,100,0.39678887289633236,300,0.6733218245784278,COMPLETE
122,0.5143981398676445,2025-01-27 17:36:06.954394,2025-01-27 17:38:28.060699,0 days 00:02:21.106305,0.16830820179916445,0.4121259490037271,100,0.4540530256454123,300,0.6401677816660791,COMPLETE
123,0.5143981398676445,2025-01-27 17:38:28.061443,2025-01-27 17:40:48.676596,0 days 00:02:20.615153,0.1483449608961626,0.6722126763164905,100,0.3705896238963927,300,0.6987827972836098,COMPLETE
124,0.5143981398676445,2025-01-27 17:40:48.677357,2025-01-27 17:43:08.967368,0 days 00:02:20.290011,0.4658898752838176,0.5061691128306308,100,0.10355499549910488,30,0.5996065090427577,COMPLETE
125,0.5143981398676445,2025-01-27 17:43:08.968103,2025-01-27 17:45:29.590163,0 days 00:02:20.622060,0.1849540738477479,0.6450170490795458,10,0.29395343661398116,600,0.5384427287510877,COMPLETE
126,0.5143981398676445,2025-01-27 17:45:29.590901,2025-01-27 17:47:49.953291,0 days 00:02:20.362390,0.106291490919038,0.44202863180423274,100,0.4958339760792748,300,0.7462937695086984,COMPLETE
127,0.5143981398676445,2025-01-27 17:47:49.953986,2025-01-27 17:50:07.274362,0 days 00:02:17.320376,0.8985378209299555,0.7215584789592382,150,0.7644813527603924,120,0.8942909777986604,COMPLETE
128,0.5143981398676445,2025-01-27 17:50:07.275226,2025-01-27 17:52:27.453324,0 days 00:02:20.178098,0.4896176799187165,0.8491798235921748,10,0.5201848549143108,600,0.7173468958903165,COMPLETE
129,0.5143981398676445,2025-01-27 17:52:27.454082,2025-01-27 17:54:47.369968,0 days 00:02:19.915886,0.2499117643752736,0.5546781162580033,100,0.41676935579904223,120,0.778266234907381,COMPLETE
130,0.5143981398676445,2025-01-27 17:54:47.370697,2025-01-27 17:57:07.882762,0 days 00:02:20.512065,0.5941166526047869,0.4794653359450608,10,0.173519615526379,300,0.49581207709844205,COMPLETE
131,0.5143981398676445,2025-01-27 17:57:07.883436,2025-01-27 17:59:30.691146,0 days 00:02:22.807710,0.22052387937800216,0.2572086239940559,100,0.11175666277522882,300,0.10480331591192354,COMPLETE
